24000 22
529 1.0 318
493 0.4 153
471 1.0 377
942 1.1 254
107 1.2 373
310 0.6 172
1467 1.0 281
1435 0.7 267
797 0.5 248
223 0.7 115
404 1.1 155
831 1.1 231
1515 0.8 226
1027 0.5 151
977 0.4 190
399 1.1 256
752 0.5 132
1275 1.1 147
1214 0.6 290
1502 0.6 102
713 0.6 245
574 1.0 373
275 1.1 189
521 0.5 166
1378 1.0 307
998 0.7 311
290 1.1 190
875 0.6 204
1349 0.5 351
1403 0.5 184
798 0.6 221
1514 0.5 340
1563 0.9 144
1624 1.0 120
262 0.6 358
932 0.6 364
517 0.6 223
280 1.2 123
1028 0.5 115
173 0.8 157
304 1.1 287
567 0.7 124
488 0.7 330
1445 0.9 304
464 0.8 391
513 0.5 155
692 0.8 123
1294 0.4 391
1356 0.9 377
184 1.1 271
1447 0.7 251
592 0.7 387
768 1.1 148
731 0.7 275
1590 0.8 114
1312 1.0 140
1092 0.8 170
1299 0.9 105
450 0.4 238
1632 0.8 272
